timestamps,x
336.051385,1003.44841
336.998735,1003.497238
337.946237,1003.541031
338.893868,1003.589859
339.841415,1003.62381
340.789035,1003.644638
341.736697,1003.656769
342.684468,1003.656769
343.632177,1003.647766
344.57978,1003.642197
345.527576,1003.632889
346.475356,1003.619995
347.423281,1003.601761
348.371213,1003.587723
349.319114,1003.575668
350.267065,1003.575668
351.21496,1003.577042
352.162885,1003.586197
353.110851,1003.593063
354.058906,1003.60466
355.006846,1003.616028
355.954759,1003.617859
356.902626,1003.624039
357.850579,1003.624039
358.798384,1003.618011
359.746147,1003.611221
360.693862,1003.604431
361.641588,1003.588715
362.589241,1003.572388
363.536864,1003.567429
364.484563,1003.560867
365.432214,1003.552628
366.380022,1003.552628
367.327876,1003.560104
368.27572,1003.563309
369.223822,1003.563309
370.172064,1003.565521
371.120066,1003.570633
372.068012,1003.572083
373.015949,1003.572235
373.963952,1003.572235
374.911858,1003.570786
375.859792,1003.567429
376.807674,1003.56308
377.755572,1003.559418
378.703361,1003.558731
379.651202,1003.5569
380.598962,1003.5569
381.546737,1003.559036
382.494516,1003.561859
383.442271,1003.562088
384.389994,1003.566132
385.337694,1003.567123
386.285353,1003.567123
387.232987,1003.56636
388.180641,1003.564529
389.128457,1003.562088
390.076271,1003.560638
391.024104,1003.559113
391.971872,1003.558273
392.919663,1003.559113
393.867338,1003.563156
394.815252,1003.567886
395.763669,1003.570251
396.712461,1003.580093
397.661616,1003.580093
398.610987,1003.566208
399.56023,1003.566132
400.509541,1003.565369
401.458835,1003.556595
402.408116,1003.556595
403.357469,1003.571167
404.306916,1003.574142
405.256261,1003.578644
406.205658,1003.586655
407.155176,1003.589249
408.104716,1003.596115
409.054114,1003.597183
410.003634,1003.606949
410.953058,1003.616028
411.902461,1003.621216
412.851976,1003.62915
413.801687,1003.62915
414.751263,1003.617706
415.700741,1003.615799
416.650192,1003.615799
417.599643,1003.61496
418.549165,1003.61496
419.498772,1003.621826
420.448252,1003.621826
421.397636,1003.616257
422.347118,1003.612518
423.296473,1003.609314
424.245549,1003.606262
425.194165,1003.598557
426.142677,1003.595886
